date,nom_fichier,reseau,statut,ancienne_maj,nouvelle_maj
2026-08-24,Bayonne_txiktxak.zip,TXIK TXAK,mis_a_jour,,20270624
2026-08-24,Besancon-gtfs-ginko_r5py.zip,Ginko,mis_a_jour,,20261015
2026-08-24,Bordeaux.gtfs.zip,TBM,mis_a_jour,,20261119
2026-08-24,Brest_medias.zip,Bibus - TAD Bibus,mis_a_jour,,20261015
2026-08-24,Castres_08012026.zip,Transports publics Libellus,mis_a_jour,,20261217
2026-08-24,Chambery_GTFS.zip,Synchro Bus,mis_a_jour,,20261015
2026-08-24,Chateauroux_gtfs-202601050.zip,HORIZON (CHATEAUROUX),mis_a_jour,,20260702
2026-08-24,Cholet_gtfs.zip,Choletbus,mis_a_jour,,20270701
2026-08-24,Châlon_GTFS.zip,Châlons-en-Champagne,mis_a_jour,,20260827
2026-08-24,Clermont auvergne_GTFS.zip,T2C,mis_a_jour,,20260702
2026-08-24,Colmar_GTFS.zip,TRACE,mis_a_jour,,20261126
2026-08-24,Cotentin_GTFS.zip,Cap Cotentin,mis_a_jour,,20260702
2026-08-24,Dijon_gtfs-diviamobilites-current.zip,KEOLIS DIJON,mis_a_jour,,20261015
2026-08-24,Douai_GTFS.zip,EVEOLE - TAD EVEOLE,mis_a_jour,,20261217
2026-08-24,Dunkerque_gtfs-20260624-110758-dkbus.zip,DKBUS,mis_a_jour,,20261217
2026-08-24,Gap_GTFS.zip,L'Agglo en bus,mis_a_jour,,20261217
2026-08-24,Grenoble_SEM-GTFS.zip,M Réso - Métropole Grenobloise,mis_a_jour,,20261015
2026-08-24,Guéret_GTFS.zip,Agglo’Bus (Grand Guéret),mis_a_jour,,20270831
2026-08-24,Lannion_GTFS.zip,TILT (Lannion),mis_a_jour,,20270701
2026-08-24,Laval_pan.zip,TUL,mis_a_jour,,20260827
2026-08-24,Limoges_metropole-aggregated-gtfs.zip,STCLM (Limoges Métropole),mis_a_jour,,20261015
2026-08-24,Lorient_medias.zip,IZILO,mis_a_jour,,20261015
2026-08-24,Marseille_mamp-rtm.gtfs.zip,Marseille,mis_a_jour,,20261015
2026-08-24,Metz_LEMET-gtfs.zip,LE MET',mis_a_jour,,20260922
2026-08-24,Montauban_gtfs-ete-26.zip,SEMTM,mis_a_jour,,20260827
2026-08-24,Montelimar_GTFS.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20261015
2026-08-24,Montelimar_gtfs-2026-06-10.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20261015
2026-08-24,Montpellier_TAM_MMM_GTFS.zip,TAM,mis_a_jour,,20261015
2026-08-24,Mulhouse_SITRAM.GTFS.zip,SOLEA,mis_a_jour,,20270624
2026-08-24,Nancy_LESUB.GTFS.zip,SUB Nancy,mis_a_jour,,20261015
2026-08-24,Nantes_Naolib_gtfs_lumidata_id.zip,Naolib,mis_a_jour,,20261119
